season,club,n_eff_at_kickoff,years_since_last,atk_end,dfc_end,conv_end,atk_mid,dfc_mid,conv_mid,gf,ga
2017-18,Brighton,0.0,,-0.315,0.083,True,-0.51,-0.006,True,34,54
2017-18,Huddersfield,0.0,,-0.551,0.116,True,-0.285,0.244,True,28,58
2017-18,Newcastle,0.0,,-0.225,-0.1,True,-0.393,0.194,True,39,47
2018-19,Cardiff,0.0,,-0.366,0.265,True,-0.292,0.387,True,34,69
2018-19,Fulham,0.0,,-0.387,0.423,True,-0.382,0.475,True,34,81
2018-19,Wolves,0.0,,-0.073,-0.113,True,-0.232,-0.153,True,47,46
2019-20,Aston Villa,0.0,,-0.212,0.244,True,-0.043,0.245,True,41,67
2019-20,Norwich,0.0,,-0.756,0.384,True,-0.308,0.376,True,26,75
2019-20,Sheffield United,0.0,,-0.254,-0.231,True,-0.154,-0.368,True,39,39
2020-21,Fulham,11.8,2.0,-0.567,0.121,True,-0.445,0.21,True,27,53
2020-21,Leeds,0.0,,0.241,0.04,True,0.26,0.329,True,62,54
2020-21,West Brom,8.9,3.0,-0.295,0.348,True,-0.474,0.431,True,35,76
2021-22,Brentford,0.0,,-0.042,0.076,True,-0.125,0.066,True,48,56
2021-22,Norwich,13.1,2.0,-0.753,0.451,True,-0.971,0.435,True,23,84
2021-22,Watford,24.0,2.0,-0.345,0.341,True,-0.124,0.299,True,34,77
2022-23,Bournemouth,12.2,3.0,-0.298,0.267,True,-0.265,0.376,True,37,71
2022-23,Fulham,16.4,2.0,-0.087,0.018,True,-0.087,0.062,True,55,53
2022-23,Nott'm Forest,0.0,,-0.257,0.229,True,-0.51,0.202,True,38,68
2023-24,Burnley,25.6,2.0,-0.346,0.187,True,-0.38,0.161,True,41,78
2023-24,Luton,0.0,,-0.048,0.413,True,-0.1,0.284,True,52,85
2023-24,Sheffield United,9.8,3.0,-0.484,0.517,True,-0.584,0.412,True,35,104
2024-25,Ipswich,0.0,,-0.396,0.397,True,-0.413,0.149,True,36,82
2024-25,Leicester,25.3,2.0,-0.308,0.275,True,-0.09,0.266,True,33,80
2024-25,Southampton,25.2,2.0,-0.554,0.367,True,-0.511,0.274,True,26,86
2025-26,Burnley,18.9,2.0,-0.329,0.329,True,-0.314,0.296,True,38,75
2025-26,Leeds,11.2,3.0,-0.071,0.108,True,-0.027,0.287,True,49,56
2025-26,Sunderland,0.1,9.0,-0.217,-0.076,True,-0.256,-0.344,True,42,48
