season,element,origin,league
2023-24,211,foreign,La Liga
2023-24,616,foreign,Bundesliga
2023-24,519,foreign,Serie A
2023-24,599,foreign,Bundesliga
2023-24,321,championship,Championship
2023-24,611,foreign,Ligue 1
2023-24,203,foreign,Ligue 1
2023-24,326,championship,Championship
2023-24,757,academy,League One loan
2023-24,72,foreign,La Liga
2023-24,157,championship,Championship
2023-24,309,foreign,Bundesliga
2023-24,314,championship,Championship
2023-24,316,championship,Championship
2023-24,318,championship,Championship
2023-24,328,championship,Championship
2023-24,585,foreign,Eredivisie
2023-24,595,foreign,Eredivisie
2023-24,617,foreign,Serie A
2023-24,639,foreign,Bundesliga
2023-24,678,foreign,Ligue 1
2023-24,689,foreign,Eredivisie
2023-24,775,championship,Championship
2023-24,792,foreign,Belgium
2023-24,27,championship,Championship
2023-24,122,foreign,Belgium
2023-24,128,foreign,Bundesliga
2023-24,160,championship,Championship
2023-24,167,championship,Championship
2023-24,168,championship,Championship
2023-24,182,championship,Championship
2023-24,212,foreign,Bundesliga
2023-24,279,championship,Championship
2023-24,320,championship,Championship
2023-24,329,championship,Championship
2023-24,330,championship,Championship
2023-24,393,championship,Championship
2023-24,429,foreign,Serie A
2023-24,471,championship,Championship
2023-24,490,academy,League One loan
2023-24,553,championship,Championship
2023-24,575,championship,Championship
2023-24,582,championship,Championship
2023-24,584,foreign,La Liga
2023-24,592,foreign,Ligue 1
2023-24,593,foreign,Sweden
2023-24,594,foreign,Switzerland
2023-24,602,foreign,Ligue 1
2023-24,605,foreign,La Liga
2023-24,606,foreign,Serie A
2023-24,608,championship,Championship
2023-24,610,foreign,Eredivisie
2023-24,626,academy,League Two loan
2023-24,631,championship,Championship
2023-24,638,foreign,La Liga
2023-24,642,foreign,Eredivisie
2023-24,660,foreign,Ligue 1
2023-24,663,championship,Championship
2023-24,668,foreign,Bundesliga
2023-24,672,foreign,Turkey
2023-24,674,foreign,Belgium
2023-24,675,championship,Championship
2023-24,679,foreign,La Liga
2023-24,690,foreign,Ligue 1
2023-24,691,foreign,Serie A
2023-24,696,foreign,Brazil
2023-24,697,foreign,La Liga
2023-24,708,foreign,Bundesliga
2023-24,709,foreign,Serie A
2023-24,712,foreign,Serie A
2023-24,713,foreign,Eredivisie
2023-24,715,foreign,Ligue 1
2023-24,777,foreign,Serie A
2023-24,803,championship,Championship
2023-24,805,foreign,Ligue 1
2023-24,806,foreign,Ligue 1
2023-24,807,championship,Championship
2023-24,823,academy,League One loan
2024-25,571,foreign,La Liga
2024-25,573,foreign,Serie A
2024-25,617,foreign,Portugal
2024-25,582,foreign,Ligue 1
2024-25,755,foreign,Bundesliga
2024-25,762,foreign,Ligue 1
2024-25,135,foreign,Eredivisie
2024-25,580,foreign,Serie A
2024-25,765,foreign,Portugal
2024-25,766,foreign,Serie A
2024-25,768,foreign,Bundesliga
2024-25,770,foreign,Ligue 1
2024-25,149,foreign,Eredivisie
2024-25,205,foreign,Serie A
2024-25,263,championship,Championship
2024-25,264,championship,Championship
2024-25,265,championship,Championship
2024-25,266,championship,Championship
2024-25,270,championship,Championship
2024-25,277,championship,Championship
2024-25,278,championship,Championship
2024-25,284,championship,Championship
2024-25,298,championship,Championship
2024-25,301,foreign,Serie A
2024-25,338,foreign,Bundesliga
2024-25,389,foreign,Serie A
2024-25,461,championship,Championship
2024-25,467,championship,Championship
2024-25,474,foreign,Eredivisie
2024-25,477,championship,Championship
2024-25,481,foreign,Sweden
2024-25,489,championship,Championship
2024-25,558,foreign,La Liga
2024-25,563,foreign,Portugal
2024-25,566,foreign,La Liga
