season,competition,category,table_type,source_file,saved_at,team_fbref,team,team_fbref_id,players_used,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,pens_made,pens_att,team_href
2016-2017,Premier League,shooting,squad_for,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Arsenal,Arsenal,18bb7c10,29,38.0,73,568,201,35.4,14.95,5.29,0.13,0.36,4,6,https://fbref.com/en/squads/18bb7c10/2016-2017/Arsenal-Stats
2016-2017,Premier League,shooting,squad_for,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Bournemouth,Bournemouth,4ba7cbea,27,38.0,53,452,160,35.4,11.89,4.21,0.12,0.33,7,10,https://fbref.com/en/squads/4ba7cbea/2016-2017/Bournemouth-Stats
2016-2017,Premier League,shooting,squad_for,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Burnley,Burnley,943e8050,27,38.0,39,388,121,31.2,10.21,3.18,0.10,0.32,6,6,https://fbref.com/en/squads/943e8050/2016-2017/Burnley-Stats
2016-2017,Premier League,shooting,squad_for,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Chelsea,Chelsea,cff3d9bb,24,38.0,83,582,205,35.2,15.32,5.39,0.14,0.40,2,4,https://fbref.com/en/squads/cff3d9bb/2016-2017/Chelsea-Stats
2016-2017,Premier League,shooting,squad_for,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Crystal Palace,Crystal Palace,47c64c55,31,38.0,48,441,137,31.1,11.61,3.61,0.11,0.35,4,7,https://fbref.com/en/squads/47c64c55/2016-2017/Crystal-Palace-Stats
2016-2017,Premier League,shooting,squad_for,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Everton,Everton,d3fd31cc,27,38.0,58,500,192,38.4,13.16,5.05,0.12,0.30,3,4,https://fbref.com/en/squads/d3fd31cc/2016-2017/Everton-Stats
2016-2017,Premier League,shooting,squad_for,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Hull City,Hull,bd8769d1,28,38.0,36,396,126,31.8,10.42,3.32,0.09,0.29,3,3,https://fbref.com/en/squads/bd8769d1/2016-2017/Hull-City-Stats
2016-2017,Premier League,shooting,squad_for,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Leicester City,Leicester,a2d435b3,25,38.0,46,435,145,33.3,11.45,3.82,0.11,0.32,4,6,https://fbref.com/en/squads/a2d435b3/2016-2017/Leicester-City-Stats
2016-2017,Premier League,shooting,squad_for,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Liverpool,Liverpool,822bd0ba,23,38.0,77,639,236,36.9,16.82,6.21,0.12,0.33,7,8,https://fbref.com/en/squads/822bd0ba/2016-2017/Liverpool-Stats
2016-2017,Premier League,shooting,squad_for,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Manchester City,Man City,b8fd03ef,25,38.0,75,633,215,34.0,16.66,5.66,0.12,0.35,7,9,https://fbref.com/en/squads/b8fd03ef/2016-2017/Manchester-City-Stats
2016-2017,Premier League,shooting,squad_for,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Manchester Utd,Man Utd,19538871,31,38.0,54,589,207,35.1,15.50,5.45,0.09,0.26,3,4,https://fbref.com/en/squads/19538871/2016-2017/Manchester-United-Stats
2016-2017,Premier League,shooting,squad_for,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Middlesbrough,Middlesbrough,7f59c601,27,38.0,26,349,98,28.1,9.18,2.58,0.07,0.27,2,2,https://fbref.com/en/squads/7f59c601/2016-2017/Middlesbrough-Stats
2016-2017,Premier League,shooting,squad_for,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Southampton,Southampton,33c895d4,26,38.0,39,549,179,32.6,14.45,4.71,0.07,0.22,3,6,https://fbref.com/en/squads/33c895d4/2016-2017/Southampton-Stats
2016-2017,Premier League,shooting,squad_for,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Stoke City,Stoke,17892952,26,38.0,37,426,135,31.7,11.21,3.55,0.09,0.27,4,6,https://fbref.com/en/squads/17892952/2016-2017/Stoke-City-Stats
2016-2017,Premier League,shooting,squad_for,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Sunderland,Sunderland,8ef52968,31,38.0,28,388,122,31.4,10.21,3.21,0.07,0.23,5,5,https://fbref.com/en/squads/8ef52968/2016-2017/Sunderland-Stats
2016-2017,Premier League,shooting,squad_for,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Swansea City,Swansea,fb10988f,27,38.0,45,403,145,36.0,10.61,3.82,0.11,0.31,3,3,https://fbref.com/en/squads/fb10988f/2016-2017/Swansea-City-Stats
2016-2017,Premier League,shooting,squad_for,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Tottenham,Spurs,361ca564,24,38.0,84,670,257,38.4,17.63,6.76,0.13,0.33,7,9,https://fbref.com/en/squads/361ca564/2016-2017/Tottenham-Hotspur-Stats
2016-2017,Premier League,shooting,squad_for,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,Watford,Watford,2abfe087,33,38.0,39,424,143,33.7,11.16,3.76,0.09,0.27,3,3,https://fbref.com/en/squads/2abfe087/2016-2017/Watford-Stats
2016-2017,Premier League,shooting,squad_for,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,West Brom,West Brom,60c6b05f,23,38.0,43,399,124,31.1,10.50,3.26,0.11,0.35,1,1,https://fbref.com/en/squads/60c6b05f/2016-2017/West-Bromwich-Albion-Stats
2016-2017,Premier League,shooting,squad_for,2016-2017 Premier League Stats _ FBref.com.html,2026-09-20T20:42:19.700222+00:00,West Ham,West Ham,7c21e445,29,38.0,46,498,136,27.3,13.11,3.58,0.09,0.34,3,4,https://fbref.com/en/squads/7c21e445/2016-2017/West-Ham-United-Stats
