season,competition,category,table_type,source_file,saved_at,team_fbref,team,team_fbref_id,players_used,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,team_href
2018-2019,Premier League,misc,squad_for,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Arsenal,Arsenal,18bb7c10,28,38.0,74,2,1,412,455,89,605,412,366,4,7,1,https://fbref.com/en/squads/18bb7c10/2018-2019/Arsenal-Stats
2018-2019,Premier League,misc,squad_for,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Bournemouth,Bournemouth,4ba7cbea,28,38.0,60,1,0,340,441,57,613,371,299,8,5,3,https://fbref.com/en/squads/4ba7cbea/2018-2019/Bournemouth-Stats
2018-2019,Premier League,misc,squad_for,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Brighton,Brighton,d07537b9,21,38.0,62,4,1,463,301,90,636,463,391,5,10,0,https://fbref.com/en/squads/d07537b9/2018-2019/Brighton-and-Hove-Albion-Stats
2018-2019,Premier League,misc,squad_for,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Burnley,Burnley,943e8050,23,38.0,75,1,0,360,356,106,692,367,311,1,3,4,https://fbref.com/en/squads/943e8050/2018-2019/Burnley-Stats
2018-2019,Premier League,misc,squad_for,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Cardiff City,Cardiff,75fae011,25,38.0,66,1,0,374,390,77,562,529,375,2,7,0,https://fbref.com/en/squads/75fae011/2018-2019/Cardiff-City-Stats
2018-2019,Premier League,misc,squad_for,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Chelsea,Chelsea,cff3d9bb,24,38.0,49,0,0,339,424,83,692,353,365,5,2,0,https://fbref.com/en/squads/cff3d9bb/2018-2019/Chelsea-Stats
2018-2019,Premier League,misc,squad_for,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Crystal Palace,Crystal Palace,47c64c55,26,38.0,59,2,1,386,391,78,577,445,446,10,5,1,https://fbref.com/en/squads/47c64c55/2018-2019/Crystal-Palace-Stats
2018-2019,Premier League,misc,squad_for,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Everton,Everton,d3fd31cc,23,38.0,57,4,1,432,418,69,814,453,441,4,5,2,https://fbref.com/en/squads/d3fd31cc/2018-2019/Everton-Stats
2018-2019,Premier League,misc,squad_for,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Fulham,Fulham,fd962109,28,38.0,72,2,2,423,342,90,611,434,362,2,7,2,https://fbref.com/en/squads/fd962109/2018-2019/Fulham-Stats
2018-2019,Premier League,misc,squad_for,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Huddersfield,Huddersfield,f5922ca5,31,38.0,57,4,1,420,370,63,768,531,425,1,9,1,https://fbref.com/en/squads/f5922ca5/2018-2019/Huddersfield-Town-Stats
2018-2019,Premier League,misc,squad_for,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Leicester City,Leicester,a2d435b3,25,38.0,63,5,3,351,378,72,779,438,393,6,5,0,https://fbref.com/en/squads/a2d435b3/2018-2019/Leicester-City-Stats
2018-2019,Premier League,misc,squad_for,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Liverpool,Liverpool,822bd0ba,23,38.0,41,2,2,315,347,77,721,314,377,7,1,0,https://fbref.com/en/squads/822bd0ba/2018-2019/Liverpool-Stats
2018-2019,Premier League,misc,squad_for,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Manchester City,Man City,b8fd03ef,21,38.0,44,1,0,328,301,98,783,362,327,4,4,0,https://fbref.com/en/squads/b8fd03ef/2018-2019/Manchester-City-Stats
2018-2019,Premier League,misc,squad_for,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Manchester Utd,Man Utd,19538871,28,38.0,77,4,2,433,397,90,638,355,347,11,6,3,https://fbref.com/en/squads/19538871/2018-2019/Manchester-United-Stats
2018-2019,Premier League,misc,squad_for,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Newcastle,Newcastle,b2b47a98,24,38.0,57,2,0,423,332,59,711,506,433,2,6,1,https://fbref.com/en/squads/b2b47a98/2018-2019/Newcastle-United-Stats
2018-2019,Premier League,misc,squad_for,2018-2019 Premier League Stats _ FBref.com.html,2026-09-20T20:41:51.232150+00:00,Southampton,Southampton,33c895d4,30,38.0,75,3,2,420,341,61,666,549,428,4,3,3,https://fbref.com/en/squads/33c895d4/2018-2019/Southampton-Stats
