season,competition,category,table_type,source_file,saved_at,team_fbref,team,team_fbref_id,rank,home_games,home_wins,home_ties,home_losses,home_goals_for,home_goals_against,home_goal_diff,home_points,home_points_avg,away_games,away_wins,away_ties,away_losses,away_goals_for,away_goals_against,away_goal_diff,away_points,away_points_avg,team_href
2019-2020,Premier League,results,results_home_away,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Liverpool,Liverpool,822bd0ba,1,19,18,1,0,52,16,+36,55,2.89,19,14,2,3,33,17,+16,44,2.32,https://fbref.com/en/squads/822bd0ba/2019-2020/Liverpool-Stats
2019-2020,Premier League,results,results_home_away,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Manchester City,Man City,b8fd03ef,2,19,15,2,2,57,13,+44,47,2.47,19,11,1,7,45,22,+23,34,1.79,https://fbref.com/en/squads/b8fd03ef/2019-2020/Manchester-City-Stats
2019-2020,Premier League,results,results_home_away,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Manchester Utd,Man Utd,19538871,3,19,10,7,2,40,17,+23,37,1.95,19,8,5,6,26,19,+7,29,1.53,https://fbref.com/en/squads/19538871/2019-2020/Manchester-United-Stats
2019-2020,Premier League,results,results_home_away,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Chelsea,Chelsea,cff3d9bb,4,19,11,3,5,30,16,+14,36,1.89,19,9,3,7,39,38,+1,30,1.58,https://fbref.com/en/squads/cff3d9bb/2019-2020/Chelsea-Stats
2019-2020,Premier League,results,results_home_away,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Leicester City,Leicester,a2d435b3,5,19,11,4,4,35,17,+18,37,1.95,19,7,4,8,32,24,+8,25,1.32,https://fbref.com/en/squads/a2d435b3/2019-2020/Leicester-City-Stats
2019-2020,Premier League,results,results_home_away,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Tottenham,Spurs,361ca564,6,19,12,3,4,36,17,+19,39,2.05,19,4,8,7,25,30,-5,20,1.05,https://fbref.com/en/squads/361ca564/2019-2020/Tottenham-Hotspur-Stats
2019-2020,Premier League,results,results_home_away,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Wolves,Wolves,8cec06e1,7,19,8,7,4,27,19,+8,31,1.63,19,7,7,5,24,21,+3,28,1.47,https://fbref.com/en/squads/8cec06e1/2019-2020/Wolverhampton-Wanderers-Stats
2019-2020,Premier League,results,results_home_away,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Arsenal,Arsenal,18bb7c10,8,19,10,6,3,36,24,+12,36,1.89,19,4,8,7,20,24,-4,20,1.05,https://fbref.com/en/squads/18bb7c10/2019-2020/Arsenal-Stats
2019-2020,Premier League,results,results_home_away,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Sheffield United,Sheffield Utd,1df6b87e,9,19,10,3,6,24,15,+9,33,1.74,19,4,9,6,15,24,-9,21,1.11,https://fbref.com/en/squads/1df6b87e/2019-2020/Sheffield-United-Stats
2019-2020,Premier League,results,results_home_away,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Burnley,Burnley,943e8050,10,19,8,4,7,24,23,+1,28,1.47,19,7,5,7,19,27,-8,26,1.37,https://fbref.com/en/squads/943e8050/2019-2020/Burnley-Stats
2019-2020,Premier League,results,results_home_away,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Southampton,Southampton,33c895d4,11,19,6,3,10,21,35,-14,21,1.11,19,9,4,6,30,25,+5,31,1.63,https://fbref.com/en/squads/33c895d4/2019-2020/Southampton-Stats
2019-2020,Premier League,results,results_home_away,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Everton,Everton,d3fd31cc,12,19,8,7,4,24,21,+3,31,1.63,19,5,3,11,20,35,-15,18,0.95,https://fbref.com/en/squads/d3fd31cc/2019-2020/Everton-Stats
2019-2020,Premier League,results,results_home_away,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Newcastle,Newcastle,b2b47a98,13,19,6,8,5,20,21,-1,26,1.37,19,5,3,11,18,37,-19,18,0.95,https://fbref.com/en/squads/b2b47a98/2019-2020/Newcastle-United-Stats
2019-2020,Premier League,results,results_home_away,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Crystal Palace,Crystal Palace,47c64c55,14,19,6,5,8,15,20,-5,23,1.21,19,5,5,9,16,30,-14,20,1.05,https://fbref.com/en/squads/47c64c55/2019-2020/Crystal-Palace-Stats
2019-2020,Premier League,results,results_home_away,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Brighton,Brighton,d07537b9,15,19,5,7,7,20,27,-7,22,1.16,19,4,7,8,19,27,-8,19,1.00,https://fbref.com/en/squads/d07537b9/2019-2020/Brighton-and-Hove-Albion-Stats
2019-2020,Premier League,results,results_home_away,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,West Ham,West Ham,7c21e445,16,19,6,4,9,30,33,-3,22,1.16,19,4,5,10,19,29,-10,17,0.89,https://fbref.com/en/squads/7c21e445/2019-2020/West-Ham-United-Stats
2019-2020,Premier League,results,results_home_away,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Aston Villa,Aston Villa,8602292d,17,19,7,3,9,22,30,-8,24,1.26,19,2,5,12,19,37,-18,11,0.58,https://fbref.com/en/squads/8602292d/2019-2020/Aston-Villa-Stats
2019-2020,Premier League,results,results_home_away,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Bournemouth,Bournemouth,4ba7cbea,18,19,5,6,8,22,30,-8,21,1.11,19,4,1,14,18,35,-17,13,0.68,https://fbref.com/en/squads/4ba7cbea/2019-2020/Bournemouth-Stats
2019-2020,Premier League,results,results_home_away,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Watford,Watford,2abfe087,19,19,6,6,7,22,27,-5,24,1.26,19,2,4,13,14,37,-23,10,0.53,https://fbref.com/en/squads/2abfe087/2019-2020/Watford-Stats
2019-2020,Premier League,results,results_home_away,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Norwich City,Norwich,1c781004,20,19,4,3,12,19,37,-18,15,0.79,19,1,3,15,7,38,-31,6,0.32,https://fbref.com/en/squads/1c781004/2019-2020/Norwich-City-Stats
