season,competition,category,table_type,source_file,saved_at,team_fbref,team,team_fbref_id,players_used,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,pens_made,pens_att,team_href
2019-2020,Premier League,shooting,squad_against,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Arsenal,Arsenal,18bb7c10,29,38.0,48,545,185,33.9,14.34,4.87,0.09,0.26,7,8,https://fbref.com/en/squads/18bb7c10/2019-2020/Arsenal-Stats
2019-2020,Premier League,shooting,squad_against,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Aston Villa,Aston Villa,8602292d,28,38.0,66,602,176,29.2,15.84,4.63,0.11,0.38,5,6,https://fbref.com/en/squads/8602292d/2019-2020/Aston-Villa-Stats
2019-2020,Premier League,shooting,squad_against,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Bournemouth,Bournemouth,4ba7cbea,27,38.0,65,552,186,33.7,14.53,4.89,0.12,0.35,5,6,https://fbref.com/en/squads/4ba7cbea/2019-2020/Bournemouth-Stats
2019-2020,Premier League,shooting,squad_against,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Brighton,Brighton,d07537b9,25,38.0,52,496,166,33.5,13.05,4.37,0.10,0.31,2,2,https://fbref.com/en/squads/d07537b9/2019-2020/Brighton-and-Hove-Albion-Stats
2019-2020,Premier League,shooting,squad_against,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Burnley,Burnley,943e8050,22,38.0,49,534,162,30.3,14.05,4.26,0.09,0.30,4,5,https://fbref.com/en/squads/943e8050/2019-2020/Burnley-Stats
2019-2020,Premier League,shooting,squad_against,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Chelsea,Chelsea,cff3d9bb,27,38.0,51,320,113,35.3,8.42,2.97,0.16,0.45,2,2,https://fbref.com/en/squads/cff3d9bb/2019-2020/Chelsea-Stats
2019-2020,Premier League,shooting,squad_against,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Crystal Palace,Crystal Palace,47c64c55,25,38.0,48,511,172,33.7,13.45,4.53,0.09,0.28,0,1,https://fbref.com/en/squads/47c64c55/2019-2020/Crystal-Palace-Stats
2019-2020,Premier League,shooting,squad_against,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Everton,Everton,d3fd31cc,24,38.0,53,423,144,34.0,11.13,3.79,0.13,0.37,3,4,https://fbref.com/en/squads/d3fd31cc/2019-2020/Everton-Stats
2019-2020,Premier League,shooting,squad_against,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Leicester City,Leicester,a2d435b3,24,38.0,39,368,125,34.0,9.68,3.29,0.11,0.31,8,10,https://fbref.com/en/squads/a2d435b3/2019-2020/Leicester-City-Stats
2019-2020,Premier League,shooting,squad_against,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Liverpool,Liverpool,822bd0ba,24,38.0,32,340,106,31.2,8.95,2.79,0.09,0.30,1,1,https://fbref.com/en/squads/822bd0ba/2019-2020/Liverpool-Stats
2019-2020,Premier League,shooting,squad_against,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Manchester City,Man City,b8fd03ef,24,38.0,34,277,107,38.6,7.29,2.82,0.12,0.32,3,3,https://fbref.com/en/squads/b8fd03ef/2019-2020/Manchester-City-Stats
2019-2020,Premier League,shooting,squad_against,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Manchester Utd,Man Utd,19538871,29,38.0,35,387,128,33.1,10.18,3.37,0.09,0.27,3,3,https://fbref.com/en/squads/19538871/2019-2020/Manchester-United-Stats
2019-2020,Premier League,shooting,squad_against,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Newcastle,Newcastle,b2b47a98,28,38.0,56,564,193,34.2,14.84,5.08,0.10,0.29,2,2,https://fbref.com/en/squads/b2b47a98/2019-2020/Newcastle-United-Stats
2019-2020,Premier League,shooting,squad_against,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Norwich City,Norwich,1c781004,30,38.0,72,600,203,33.8,15.79,5.34,0.12,0.35,4,7,https://fbref.com/en/squads/1c781004/2019-2020/Norwich-City-Stats
2019-2020,Premier League,shooting,squad_against,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Sheffield United,Sheffield Utd,1df6b87e,26,38.0,39,428,137,32.0,11.26,3.61,0.09,0.28,1,3,https://fbref.com/en/squads/1df6b87e/2019-2020/Sheffield-United-Stats
2019-2020,Premier League,shooting,squad_against,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Southampton,Southampton,33c895d4,25,38.0,59,448,164,36.6,11.79,4.32,0.13,0.36,3,4,https://fbref.com/en/squads/33c895d4/2019-2020/Southampton-Stats
2019-2020,Premier League,shooting,squad_against,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Tottenham,Spurs,361ca564,29,38.0,45,532,174,32.7,14.00,4.58,0.08,0.26,5,7,https://fbref.com/en/squads/361ca564/2019-2020/Tottenham-Hotspur-Stats
2019-2020,Premier League,shooting,squad_against,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Watford,Watford,2abfe087,26,38.0,61,487,169,34.7,12.82,4.45,0.13,0.36,8,9,https://fbref.com/en/squads/2abfe087/2019-2020/Watford-Stats
2019-2020,Premier League,shooting,squad_against,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,West Ham,West Ham,7c21e445,29,38.0,59,495,181,36.6,13.03,4.76,0.12,0.33,5,6,https://fbref.com/en/squads/7c21e445/2019-2020/West-Ham-United-Stats
2019-2020,Premier League,shooting,squad_against,2019-2020 Premier League Stats _ FBref.com.html,2026-09-20T20:41:35.989478+00:00,Wolves,Wolves,8cec06e1,21,38.0,39,396,126,31.8,10.42,3.32,0.10,0.31,1,3,https://fbref.com/en/squads/8cec06e1/2019-2020/Wolverhampton-Wanderers-Stats
