season,competition,category,table_type,source_file,saved_at,team_fbref,team,team_fbref_id,players_used,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,team_href
2021-2022,Premier League,keeper,squad_against,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Arsenal,Arsenal,18bb7c10,2,38,38,"3,420",38.0,61,1.61,194,131,68.6,13,3,22,11,28.9,8,5,3,0,37.5,https://fbref.com/en/squads/18bb7c10/2021-2022/Arsenal-Stats
2021-2022,Premier League,keeper,squad_against,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Aston Villa,Aston Villa,8602292d,3,38,38,"3,420",38.0,52,1.37,162,112,67.9,19,6,13,8,21.1,3,3,0,0,0.0,https://fbref.com/en/squads/8602292d/2021-2022/Aston-Villa-Stats
2021-2022,Premier League,keeper,squad_against,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Brentford,Brentford,cd051869,3,38,38,"3,420",38.0,48,1.26,147,101,67.3,18,7,13,12,31.6,6,6,0,0,0.0,https://fbref.com/en/squads/cd051869/2021-2022/Brentford-Stats
2021-2022,Premier League,keeper,squad_against,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Brighton,Brighton,d07537b9,2,38,38,"3,420",38.0,42,1.11,146,105,71.2,11,15,12,13,34.2,7,4,1,2,20.0,https://fbref.com/en/squads/d07537b9/2021-2022/Brighton-and-Hove-Albion-Stats
2021-2022,Premier League,keeper,squad_against,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Burnley,Burnley,943e8050,2,38,38,"3,420",38.0,34,0.89,120,88,71.7,17,14,7,16,42.1,2,1,0,1,0.0,https://fbref.com/en/squads/943e8050/2021-2022/Burnley-Stats
2021-2022,Premier League,keeper,squad_against,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Chelsea,Chelsea,cff3d9bb,2,38,38,"3,420",38.0,76,2.00,209,133,63.6,6,11,21,4,10.5,9,8,1,0,11.1,https://fbref.com/en/squads/cff3d9bb/2021-2022/Chelsea-Stats
2021-2022,Premier League,keeper,squad_against,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Crystal Palace,Crystal Palace,47c64c55,2,38,38,"3,420",38.0,50,1.32,147,96,66.0,12,15,11,11,28.9,8,6,1,1,14.3,https://fbref.com/en/squads/47c64c55/2021-2022/Crystal-Palace-Stats
2021-2022,Premier League,keeper,squad_against,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Everton,Everton,d3fd31cc,2,38,38,"3,420",38.0,43,1.13,136,94,68.4,21,6,11,12,31.6,7,6,0,1,0.0,https://fbref.com/en/squads/d3fd31cc/2021-2022/Everton-Stats
2021-2022,Premier League,keeper,squad_against,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Leeds United,Leeds,5bfb9659,2,38,38,"3,420",38.0,42,1.11,147,105,71.4,18,11,9,13,34.2,5,5,0,0,0.0,https://fbref.com/en/squads/5bfb9659/2021-2022/Leeds-United-Stats
2021-2022,Premier League,keeper,squad_against,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Leicester City,Leicester,a2d435b3,2,38,38,"3,420",38.0,62,1.63,166,104,62.7,14,10,14,6,15.8,2,2,0,0,0.0,https://fbref.com/en/squads/a2d435b3/2021-2022/Leicester-City-Stats
2021-2022,Premier League,keeper,squad_against,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Liverpool,Liverpool,822bd0ba,2,38,38,"3,420",38.0,94,2.47,245,150,61.6,2,8,28,1,2.6,8,7,1,0,12.5,https://fbref.com/en/squads/822bd0ba/2021-2022/Liverpool-Stats
2021-2022,Premier League,keeper,squad_against,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Manchester City,Man City,b8fd03ef,2,38,38,"3,420",38.0,99,2.61,246,148,59.8,3,6,29,4,10.5,9,7,2,0,22.2,https://fbref.com/en/squads/b8fd03ef/2021-2022/Manchester-City-Stats
2021-2022,Premier League,keeper,squad_against,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Manchester Utd,Man Utd,19538871,1,38,38,"3,420",38.0,57,1.50,182,126,68.7,12,10,16,9,23.7,5,3,0,2,0.0,https://fbref.com/en/squads/19538871/2021-2022/Manchester-United-Stats
2021-2022,Premier League,keeper,squad_against,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Newcastle,Newcastle,b2b47a98,3,38,38,"3,419",38.0,44,1.16,148,104,70.3,15,10,13,9,23.7,3,3,0,0,0.0,https://fbref.com/en/squads/b2b47a98/2021-2022/Newcastle-United-Stats
2021-2022,Premier League,keeper,squad_against,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Norwich City,Norwich,1c781004,2,38,38,"3,420",38.0,23,0.61,107,86,78.5,26,7,5,22,57.9,3,3,0,0,0.0,https://fbref.com/en/squads/1c781004/2021-2022/Norwich-City-Stats
2021-2022,Premier League,keeper,squad_against,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Southampton,Southampton,33c895d4,3,38,38,"3,420",38.0,43,1.13,165,124,73.9,16,13,9,9,23.7,4,4,0,0,0.0,https://fbref.com/en/squads/33c895d4/2021-2022/Southampton-Stats
2021-2022,Premier League,keeper,squad_against,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Tottenham,Spurs,361ca564,1,38,38,"3,420",38.0,69,1.82,190,127,63.7,11,5,22,10,26.3,5,5,0,0,0.0,https://fbref.com/en/squads/361ca564/2021-2022/Tottenham-Hotspur-Stats
2021-2022,Premier League,keeper,squad_against,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Watford,Watford,2abfe087,2,38,38,"3,420",38.0,34,0.89,125,91,72.8,27,5,6,18,47.4,2,1,1,0,50.0,https://fbref.com/en/squads/2abfe087/2021-2022/Watford-Stats
2021-2022,Premier League,keeper,squad_against,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,West Ham,West Ham,7c21e445,2,38,38,"3,420",38.0,60,1.58,148,88,59.5,14,8,16,8,21.1,6,4,2,0,33.3,https://fbref.com/en/squads/7c21e445/2021-2022/West-Ham-United-Stats
2021-2022,Premier League,keeper,squad_against,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Wolves,Wolves,8cec06e1,2,38,38,"3,420",38.0,38,1.00,134,99,71.6,17,6,15,16,42.1,1,1,0,0,0.0,https://fbref.com/en/squads/8cec06e1/2021-2022/Wolverhampton-Wanderers-Stats
