season,competition,category,table_type,source_file,saved_at,team_fbref,team,team_fbref_id,players_used,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,team_href
2021-2022,Premier League,keeper,squad_for,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Arsenal,Arsenal,18bb7c10,2,38,38,"3,420",38.0,48,1.26,147,100,67.3,22,3,13,13,34.2,6,5,0,1,0.0,https://fbref.com/en/squads/18bb7c10/2021-2022/Arsenal-Stats
2021-2022,Premier League,keeper,squad_for,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Aston Villa,Aston Villa,8602292d,3,38,38,"3,420",38.0,54,1.42,149,96,63.8,13,6,19,11,28.9,6,4,1,1,20.0,https://fbref.com/en/squads/8602292d/2021-2022/Aston-Villa-Stats
2021-2022,Premier League,keeper,squad_for,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Brentford,Brentford,cd051869,3,38,38,"3,420",38.0,56,1.47,179,125,68.7,13,7,18,9,23.7,5,5,0,0,0.0,https://fbref.com/en/squads/cd051869/2021-2022/Brentford-Stats
2021-2022,Premier League,keeper,squad_for,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Brighton,Brighton,d07537b9,2,38,38,"3,419",38.0,44,1.16,146,102,69.9,12,15,11,11,28.9,4,3,0,1,0.0,https://fbref.com/en/squads/d07537b9/2021-2022/Brighton-and-Hove-Albion-Stats
2021-2022,Premier League,keeper,squad_for,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Burnley,Burnley,943e8050,2,38,38,"3,420",38.0,53,1.39,178,127,70.2,7,14,17,9,23.7,5,5,0,0,0.0,https://fbref.com/en/squads/943e8050/2021-2022/Burnley-Stats
2021-2022,Premier League,keeper,squad_for,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Chelsea,Chelsea,cff3d9bb,2,38,38,"3,420",38.0,33,0.87,115,83,71.3,21,11,6,16,42.1,6,6,0,0,0.0,https://fbref.com/en/squads/cff3d9bb/2021-2022/Chelsea-Stats
2021-2022,Premier League,keeper,squad_for,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Crystal Palace,Crystal Palace,47c64c55,2,38,38,"3,420",38.0,46,1.21,144,99,68.1,11,15,12,12,31.6,4,3,1,0,25.0,https://fbref.com/en/squads/47c64c55/2021-2022/Crystal-Palace-Stats
2021-2022,Premier League,keeper,squad_for,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Everton,Everton,d3fd31cc,2,38,38,"3,420",38.0,66,1.74,188,127,64.9,11,6,21,8,21.1,2,2,0,0,0.0,https://fbref.com/en/squads/d3fd31cc/2021-2022/Everton-Stats
2021-2022,Premier League,keeper,squad_for,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Leeds United,Leeds,5bfb9659,2,38,38,"3,420",38.0,79,2.08,224,146,64.7,9,11,18,5,13.2,5,5,0,0,0.0,https://fbref.com/en/squads/5bfb9659/2021-2022/Leeds-United-Stats
2021-2022,Premier League,keeper,squad_for,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Leicester City,Leicester,a2d435b3,2,38,38,"3,420",38.0,59,1.55,192,132,69.3,14,10,14,7,18.4,9,7,2,0,22.2,https://fbref.com/en/squads/a2d435b3/2021-2022/Leicester-City-Stats
2021-2022,Premier League,keeper,squad_for,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Liverpool,Liverpool,822bd0ba,2,38,38,"3,420",38.0,26,0.68,107,82,75.7,28,8,2,21,55.3,0,0,0,0,,https://fbref.com/en/squads/822bd0ba/2021-2022/Liverpool-Stats
2021-2022,Premier League,keeper,squad_for,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Manchester City,Man City,b8fd03ef,2,38,38,"3,420",38.0,26,0.68,85,59,69.4,29,6,3,21,55.3,1,1,0,0,0.0,https://fbref.com/en/squads/b8fd03ef/2021-2022/Manchester-City-Stats
2021-2022,Premier League,keeper,squad_for,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Manchester Utd,Man Utd,19538871,1,38,38,"3,420",38.0,57,1.50,180,124,68.3,16,10,12,8,21.1,5,3,2,0,40.0,https://fbref.com/en/squads/19538871/2021-2022/Manchester-United-Stats
2021-2022,Premier League,keeper,squad_for,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Newcastle,Newcastle,b2b47a98,3,38,38,"3,420",38.0,62,1.63,165,104,62.4,13,10,15,8,21.1,6,5,1,0,16.7,https://fbref.com/en/squads/b2b47a98/2021-2022/Newcastle-United-Stats
2021-2022,Premier League,keeper,squad_for,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Norwich City,Norwich,1c781004,2,38,38,"3,420",38.0,84,2.21,222,139,62.2,5,7,26,6,15.8,12,9,1,2,10.0,https://fbref.com/en/squads/1c781004/2021-2022/Norwich-City-Stats
2021-2022,Premier League,keeper,squad_for,2021-2022 Premier League Stats _ FBref.com.html,2026-09-20T20:41:03.543264+00:00,Southampton,Southampton,33c895d4,3,38,38,"3,420",38.0,67,1.76,185,118,63.8,9,13,16,8,21.1,2,2,0,0,0.0,https://fbref.com/en/squads/33c895d4/2021-2022/Southampton-Stats
