season,competition,category,table_type,source_file,saved_at,team_fbref,team,team_fbref_id,players_used,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,team_href
2022-2023,Premier League,misc,squad_against,2022-2023 Premier League Stats _ FBref.com.html,2026-09-20T20:39:13.143768+00:00,Arsenal,Arsenal,18bb7c10,26,38.0,84,1,0,456,354,83,510,360,387,4,4,4,https://fbref.com/en/squads/18bb7c10/2022-2023/Arsenal-Stats
2022-2023,Premier League,misc,squad_against,2022-2023 Premier League Stats _ FBref.com.html,2026-09-20T20:39:13.143768+00:00,Aston Villa,Aston Villa,8602292d,26,38.0,85,3,3,508,403,116,689,332,370,3,4,2,https://fbref.com/en/squads/8602292d/2022-2023/Aston-Villa-Stats
2022-2023,Premier League,misc,squad_against,2022-2023 Premier League Stats _ FBref.com.html,2026-09-20T20:39:13.143768+00:00,Bournemouth,Bournemouth,4ba7cbea,31,38.0,51,0,0,375,372,65,930,279,426,3,0,0,https://fbref.com/en/squads/4ba7cbea/2022-2023/Bournemouth-Stats
2022-2023,Premier League,misc,squad_against,2022-2023 Premier League Stats _ FBref.com.html,2026-09-20T20:39:13.143768+00:00,Brentford,Brentford,cd051869,25,38.0,61,1,0,415,338,61,781,290,330,1,8,2,https://fbref.com/en/squads/cd051869/2022-2023/Brentford-Stats
2022-2023,Premier League,misc,squad_against,2022-2023 Premier League Stats _ FBref.com.html,2026-09-20T20:39:13.143768+00:00,Brighton,Brighton,d07537b9,29,38.0,92,1,0,426,409,43,444,417,350,6,6,4,https://fbref.com/en/squads/d07537b9/2022-2023/Brighton-and-Hove-Albion-Stats
2022-2023,Premier League,misc,squad_against,2022-2023 Premier League Stats _ FBref.com.html,2026-09-20T20:39:13.143768+00:00,Chelsea,Chelsea,cff3d9bb,32,38.0,69,1,1,468,378,50,591,374,429,1,3,1,https://fbref.com/en/squads/cff3d9bb/2022-2023/Chelsea-Stats
2022-2023,Premier League,misc,squad_against,2022-2023 Premier League Stats _ FBref.com.html,2026-09-20T20:39:13.143768+00:00,Crystal Palace,Crystal Palace,47c64c55,26,38.0,83,3,1,487,429,70,682,366,436,3,3,2,https://fbref.com/en/squads/47c64c55/2022-2023/Crystal-Palace-Stats
2022-2023,Premier League,misc,squad_against,2022-2023 Premier League Stats _ FBref.com.html,2026-09-20T20:39:13.143768+00:00,Everton,Everton,d3fd31cc,28,38.0,76,1,0,400,382,54,758,275,365,5,3,2,https://fbref.com/en/squads/d3fd31cc/2022-2023/Everton-Stats
2022-2023,Premier League,misc,squad_against,2022-2023 Premier League Stats _ FBref.com.html,2026-09-20T20:39:13.143768+00:00,Fulham,Fulham,fd962109,29,38.0,57,5,1,419,392,88,608,340,363,8,9,3,https://fbref.com/en/squads/fd962109/2022-2023/Fulham-Stats
2022-2023,Premier League,misc,squad_against,2022-2023 Premier League Stats _ FBref.com.html,2026-09-20T20:39:13.143768+00:00,Leeds United,Leeds,5bfb9659,29,38.0,66,3,1,422,453,86,612,391,427,5,3,3,https://fbref.com/en/squads/5bfb9659/2022-2023/Leeds-United-Stats
