season,competition,category,table_type,source_file,saved_at,team_fbref,team,team_fbref_id,players_used,avg_age,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,team_href
2024-2025,Premier League,playing_time,squad_against,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Arsenal,Arsenal,18bb7c10,25,26.1,38,"3,420",90,100,38.0,418,83,259,157,21,185,0.68,34,69,-35,-0.92,https://fbref.com/en/squads/18bb7c10/2024-2025/Arsenal-Stats
2024-2025,Premier League,playing_time,squad_against,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Aston Villa,Aston Villa,8602292d,28,26.3,38,"3,420",90,100,38.0,418,80,263,157,18,185,1.03,51,58,-7,-0.18,https://fbref.com/en/squads/8602292d/2024-2025/Aston-Villa-Stats
2024-2025,Premier League,playing_time,squad_against,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Bournemouth,Bournemouth,4ba7cbea,29,26.4,38,"3,420",90,100,38.0,418,83,254,160,20,182,1.24,46,58,-12,-0.32,https://fbref.com/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats
2024-2025,Premier League,playing_time,squad_against,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Brentford,Brentford,cd051869,28,26.4,38,"3,420",90,100,38.0,418,85,251,165,20,177,1.32,57,66,-9,-0.24,https://fbref.com/en/squads/cd051869/2024-2025/Brentford-Stats
2024-2025,Premier League,playing_time,squad_against,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Brighton,Brighton,d07537b9,32,26.2,38,"3,420",90,100,38.0,418,82,254,163,20,179,1.05,59,66,-7,-0.18,https://fbref.com/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats
2024-2025,Premier League,playing_time,squad_against,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Chelsea,Chelsea,cff3d9bb,29,26.5,38,"3,420",90,100,38.0,418,83,263,154,19,188,0.95,43,64,-21,-0.55,https://fbref.com/en/squads/cff3d9bb/2024-2025/Chelsea-Stats
2024-2025,Premier League,playing_time,squad_against,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Crystal Palace,Crystal Palace,47c64c55,29,26.1,38,"3,420",90,100,38.0,418,83,259,156,20,186,1.24,51,51,0,0.00,https://fbref.com/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats
2024-2025,Premier League,playing_time,squad_against,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Everton,Everton,d3fd31cc,26,26.2,38,"3,420",90,100,38.0,418,84,266,151,18,190,1.34,44,42,+2,+0.05,https://fbref.com/en/squads/d3fd31cc/2024-2025/Everton-Stats
2024-2025,Premier League,playing_time,squad_against,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Fulham,Fulham,fd962109,26,26.3,38,"3,420",90,100,38.0,418,83,258,160,18,181,1.34,54,54,0,0.00,https://fbref.com/en/squads/fd962109/2024-2025/Fulham-Stats
2024-2025,Premier League,playing_time,squad_against,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Ipswich Town,Ipswich,b74092de,32,26.3,38,"3,420",90,100,38.0,418,82,255,162,18,178,2.16,82,36,+46,+1.21,https://fbref.com/en/squads/b74092de/2024-2025/Ipswich-Town-Stats
2024-2025,Premier League,playing_time,squad_against,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Leicester City,Leicester,a2d435b3,32,26.3,38,"3,420",90,100,38.0,418,82,253,165,17,175,2.16,80,33,+47,+1.24,https://fbref.com/en/squads/a2d435b3/2024-2025/Leicester-City-Stats
2024-2025,Premier League,playing_time,squad_against,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Liverpool,Liverpool,822bd0ba,24,26.1,38,"3,420",90,100,38.0,418,82,257,160,20,179,0.55,41,86,-45,-1.18,https://fbref.com/en/squads/822bd0ba/2024-2025/Liverpool-Stats
2024-2025,Premier League,playing_time,squad_against,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Manchester City,Man City,b8fd03ef,30,26.2,38,"3,420",90,100,38.0,418,85,255,161,18,180,0.92,44,72,-28,-0.74,https://fbref.com/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
