season,competition,category,table_type,source_file,saved_at,team_fbref,team,team_fbref_id,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,team_href
2024-2025,Premier League,standard,squad_against,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Arsenal,Arsenal,18bb7c10,25,26.1,43.1,38,418,"3,420",38.0,34,24,58,31,3,3,83,2,0.89,0.63,1.53,0.82,1.45,https://fbref.com/en/squads/18bb7c10/2024-2025/Arsenal-Stats
2024-2025,Premier League,standard,squad_against,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Aston Villa,Aston Villa,8602292d,28,26.3,49.5,38,418,"3,420",38.0,51,36,87,49,2,3,104,2,1.34,0.95,2.29,1.29,2.24,https://fbref.com/en/squads/8602292d/2024-2025/Aston-Villa-Stats
2024-2025,Premier League,standard,squad_against,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Bournemouth,Bournemouth,4ba7cbea,29,26.4,51.5,38,418,"3,420",38.0,46,36,82,42,4,4,94,5,1.21,0.95,2.16,1.11,2.05,https://fbref.com/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats
2024-2025,Premier League,standard,squad_against,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Brentford,Brentford,cd051869,28,26.4,52.1,38,418,"3,420",38.0,54,42,96,53,1,1,82,3,1.42,1.11,2.53,1.39,2.50,https://fbref.com/en/squads/cd051869/2024-2025/Brentford-Stats
2024-2025,Premier League,standard,squad_against,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Brighton,Brighton,d07537b9,32,26.2,47.7,38,418,"3,420",38.0,57,39,96,48,9,9,93,5,1.50,1.03,2.53,1.26,2.29,https://fbref.com/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats
2024-2025,Premier League,standard,squad_against,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Chelsea,Chelsea,cff3d9bb,29,26.5,42.9,38,418,"3,420",38.0,43,33,76,38,5,6,98,2,1.13,0.87,2.00,1.00,1.87,https://fbref.com/en/squads/cff3d9bb/2024-2025/Chelsea-Stats
2024-2025,Premier League,standard,squad_against,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Crystal Palace,Crystal Palace,47c64c55,29,26.1,57.2,38,418,"3,420",38.0,48,39,87,47,1,2,84,4,1.26,1.03,2.29,1.24,2.26,https://fbref.com/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats
2024-2025,Premier League,standard,squad_against,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Everton,Everton,d3fd31cc,26,26.2,59.1,38,418,"3,420",38.0,44,35,79,44,0,2,46,2,1.16,0.92,2.08,1.16,2.08,https://fbref.com/en/squads/d3fd31cc/2024-2025/Everton-Stats
2024-2025,Premier League,standard,squad_against,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Fulham,Fulham,fd962109,26,26.3,47.7,38,418,"3,420",38.0,52,40,92,49,3,4,67,3,1.37,1.05,2.42,1.29,2.34,https://fbref.com/en/squads/fd962109/2024-2025/Fulham-Stats
2024-2025,Premier League,standard,squad_against,2024-2025 Premier League Stats _ FBref.com.html,2026-09-20T20:38:52.328259+00:00,Ipswich Town,Ipswich,b74092de,32,26.3,59.4,38,418,"3,420",38.0,80,55,135,74,6,6,65,2,2.11,1.45,3.55,1.95,3.39,https://fbref.com/en/squads/b74092de/2024-2025/Ipswich-Town-Stats
