season,competition,category,table_type,source_file,saved_at,team_fbref,team,team_fbref_id,players_used,avg_age,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,team_href
2025-2026,Premier League,playing_time,squad_for,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,Arsenal,Arsenal,18bb7c10,25,26.0,38,"3,420",90,100,38.0,418,81,254,167,23,175,2.24,71,27,+44,+1.16,https://fbref.com/en/squads/18bb7c10/2025-2026/Arsenal-Stats
2025-2026,Premier League,playing_time,squad_for,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,Aston Villa,Aston Villa,8602292d,30,28.0,38,"3,420",90,100,38.0,418,82,246,175,19,167,1.71,56,49,+7,+0.18,https://fbref.com/en/squads/8602292d/2025-2026/Aston-Villa-Stats
2025-2026,Premier League,playing_time,squad_for,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,Bournemouth,Bournemouth,4ba7cbea,26,25.0,38,"3,420",90,100,38.0,418,83,246,173,17,168,1.50,58,54,+4,+0.11,https://fbref.com/en/squads/4ba7cbea/2025-2026/Bournemouth-Stats
2025-2026,Premier League,playing_time,squad_for,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,Brentford,Brentford,cd051869,26,25.2,38,"3,420",90,100,38.0,418,84,281,136,17,206,1.39,55,52,+3,+0.08,https://fbref.com/en/squads/cd051869/2025-2026/Brentford-Stats
2025-2026,Premier League,playing_time,squad_for,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,Brighton,Brighton,d07537b9,28,26.1,38,"3,420",90,100,38.0,418,82,242,178,19,164,1.39,52,46,+6,+0.16,https://fbref.com/en/squads/d07537b9/2025-2026/Brighton-and-Hove-Albion-Stats
2025-2026,Premier League,playing_time,squad_for,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,Burnley,Burnley,943e8050,28,27.0,38,"3,420",90,100,38.0,418,83,242,173,17,168,0.58,38,75,-37,-0.97,https://fbref.com/en/squads/943e8050/2025-2026/Burnley-Stats
2025-2026,Premier League,playing_time,squad_for,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,Chelsea,Chelsea,cff3d9bb,30,24.1,38,"3,420",90,100,38.0,418,80,253,158,24,184,1.37,58,52,+6,+0.16,https://fbref.com/en/squads/cff3d9bb/2025-2026/Chelsea-Stats
2025-2026,Premier League,playing_time,squad_for,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,Crystal Palace,Crystal Palace,47c64c55,30,26.2,38,"3,420",90,100,38.0,418,83,281,136,20,204,1.18,41,51,-10,-0.26,https://fbref.com/en/squads/47c64c55/2025-2026/Crystal-Palace-Stats
2025-2026,Premier League,playing_time,squad_for,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,Everton,Everton,d3fd31cc,22,27.3,38,"3,420",90,100,38.0,418,85,286,128,15,211,1.29,47,50,-3,-0.08,https://fbref.com/en/squads/d3fd31cc/2025-2026/Everton-Stats
2025-2026,Premier League,playing_time,squad_for,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,Fulham,Fulham,fd962109,24,28.1,38,"3,420",90,100,38.0,418,82,238,180,19,162,1.37,47,51,-4,-0.11,https://fbref.com/en/squads/fd962109/2025-2026/Fulham-Stats
2025-2026,Premier League,playing_time,squad_for,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,Leeds United,Leeds,5bfb9659,24,26.8,38,"3,420",90,100,38.0,418,83,255,164,16,178,1.24,49,56,-7,-0.18,https://fbref.com/en/squads/5bfb9659/2025-2026/Leeds-United-Stats
2025-2026,Premier League,playing_time,squad_for,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,Liverpool,Liverpool,822bd0ba,24,26.6,38,"3,420",90,100,38.0,418,83,268,151,18,189,1.58,63,53,+10,+0.26,https://fbref.com/en/squads/822bd0ba/2025-2026/Liverpool-Stats
2025-2026,Premier League,playing_time,squad_for,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,Manchester City,Man City,b8fd03ef,27,25.4,38,"3,420",90,100,38.0,418,83,271,147,19,195,2.05,77,35,+42,+1.11,https://fbref.com/en/squads/b8fd03ef/2025-2026/Manchester-City-Stats
2025-2026,Premier League,playing_time,squad_for,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,Manchester Utd,Man Utd,19538871,27,26.1,38,"3,420",90,100,38.0,418,83,267,148,18,194,1.87,69,50,+19,+0.50,https://fbref.com/en/squads/19538871/2025-2026/Manchester-United-Stats
2025-2026,Premier League,playing_time,squad_for,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,Newcastle,Newcastle,b2b47a98,26,26.7,38,"3,420",90,100,38.0,418,82,245,170,20,172,1.29,53,55,-2,-0.05,https://fbref.com/en/squads/b2b47a98/2025-2026/Newcastle-United-Stats
2025-2026,Premier League,playing_time,squad_for,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,Nottingham,Nott'm Forest,e4a775cb,31,25.9,38,"3,420",90,100,38.0,418,82,265,155,21,187,1.16,48,51,-3,-0.08,https://fbref.com/en/squads/e4a775cb/2025-2026/Nottingham-Forest-Stats
2025-2026,Premier League,playing_time,squad_for,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,Sunderland,Sunderland,8ef52968,29,25.3,38,"3,420",90,100,38.0,418,83,280,137,20,205,1.42,42,48,-6,-0.16,https://fbref.com/en/squads/8ef52968/2025-2026/Sunderland-Stats
2025-2026,Premier League,playing_time,squad_for,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,Tottenham,Spurs,361ca564,31,25.3,38,"3,420",90,100,38.0,418,81,250,165,20,174,1.08,48,57,-9,-0.24,https://fbref.com/en/squads/361ca564/2025-2026/Tottenham-Hotspur-Stats
2025-2026,Premier League,playing_time,squad_for,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,West Ham,West Ham,7c21e445,32,26.3,38,"3,420",90,100,38.0,418,84,281,134,18,208,1.03,46,65,-19,-0.50,https://fbref.com/en/squads/7c21e445/2025-2026/West-Ham-United-Stats
2025-2026,Premier League,playing_time,squad_for,2025-2026 Premier League Stats _ FBref.com.html,2026-09-20T20:38:40.531517+00:00,Wolves,Wolves,8cec06e1,31,25.8,38,"3,420",90,100,38.0,418,82,258,157,20,185,0.53,27,68,-41,-1.08,https://fbref.com/en/squads/8cec06e1/2025-2026/Wolverhampton-Wanderers-Stats
